startphrase,ending1,ending2,correct_label
The choir boy's vocals sounded like a jackal,The choir boy had good vocals.,The choir boy had poor vocals.,1
The critic's review of the concert rang of A disapproving rant from an angry mother,The critic's review was negative and bad.,The critic's review was good and full of praise.,0
The worker has the discipline of a wise chess master,The worker had great discipline.,on Christmas morning. The worker has little discipline.,0
The foundation of the argument was titanium,The argument was sound.,The argument was unsound.,0
The gossip was as juicy as a sandbox,The gossip was entertaining.,The gossip was boring.,1
Her morals were soggy cereal,Her morals were flexible.,Her morals were inflexible.,0
His love was a many forked road,His love was spread to many.,His love was straight and true.,0
This bag is as light as a 600 lb gorilla,The bag is nearly weightless.,The bag is extremely heavy.,1
The tea was as dark as the night,The tea was strong.,The tea was pleasant to drink.,0
The girl's personality is flat soda,The girl has a boring personality.,The girl has a bubbly personality.,0
She had the anger of a nap,She was an angry person.,She was an evenhanded person.,1
The rat has the speed of an upside down giraffe,The rat is very fast.,The rat is very slow.,1
The driveway is a mirror,The driveway is bumpy.,The driveway is smooth.,1
The cat was as angry as a sleeping puppy,The cat was mad.,The cat was docile.,1
The pizza was as large as a polka dot,The pizza was enormous.,The pizza was tiny.,1
The Christmas tree is as bright as nightlight in the middle of the day,It's very bright.,It's quite dim.,1
The boy moves as swiftly as a boulder,The boy moves with great swiftness.,The boy is very slow.,1
The cake is as moist as the surface of Mercury,It's very moist.,It's incredibly dry.,1
The auditorium was as packed as a classroom in July,The auditorium had no people in it.,The auditorium had tons of people in it.,0
The boy is as daring as a fawn,The boy is timid.,The boy is fearless.,0
The bottle was as rare as dirt,The bottle was rare.,The bottle was common.,1
The car's engine runs as smooth as a pig on stilts,The car's engine runs rough.,The car's engine runs smooth.,0
Inflation is as high as the mariana trench,Inflation is very low.,Inflation is very high.,0
His foot is as big as an ant,He has really big feet.,He has small feet.,1
This house is made out of diamond,"The house is flimsy, and could fall apart easily.",The house is durable and resistent to damage/the elements.,1
The event was as fancy as the Queen's wedding,The event was very fancy.,The event was very down to earth.,0
The word meaning was as clear as Molasses,The meaning was clear.,The meaning was murky.,1
World peace is a family dinner where no one fights,World peace is an unattainable ideal.,"World peace is a good, if unexpected, thing.",1
She was as bright as obsidian,She was intelligent.,She was unintelligent.,1
The sisters were ribbons and bows,The sisters got along together.,The sisters did not mix well with each other.,0
The officer has the training of a newborn goldfish,The officer is well trained.,The officer has little training.,1
The canyon has the depth of a sandbox,Itbytes:\xe2\x80bytes:\x99s quite deep.,Itbytes:\xe2\x80bytes:\x99s shallow.,1
The girl's voice was as flat as sparkling water,The girl's voice was very bubbly.,The girl's voice was flat and monotonous.,0
He acted with the skill of a quack,He was skillful.,He was unskilled.,1
This party has the electricity of a field of solar panels,The party is popping.,The party is boring.,0
The girl has the gracefulness of butterfly,The girl doesn't have any grace.,The girl is very graceful.,1
The man has the addiction of an alcoholic who's just discovered beer comes in not just cans but easily concealed bottles,The man's addiction is severe.,The man's addiction isn't very bad.,0
The victory was like getting wet in a thunderstorm,The victory was too easy.,The victory was very hard-fought.,0
He was as sharp as a butter knife,He was not very smart.,He was very smart.,0
The wedding had as much pizzazz as a child's birthday party at home,The wedding was very splashy.,The wedding was very ordinary.,1
His anger was as visible as a piece of thin glass,It was very clear that he was angry.,His anger was very well hidden.,1
The man was had the strength of a sparrow,The man was very strong.,The man was very weak.,1
The movie has the depth of a conversation between Socrates and Spinoza on one of their better days,The movie is boring.,The movie is profound.,1
The illusion has the convincibility of walking into a house and not seeing a ghost,The illusion is quite convincing.,The illusion is not convincing at all.,0
The film was as impressive as the Great Pyramids,The film was very impressive.,The film wasn't impressive at all.,0
His mother gave him the respect of a king,His mothe respected him.,His mother disrespected him.,0
The jumper leaped as high as a grasshopper,The jumper jumped high.,The jumper didn't jump high.,0
This guy has the charisma of a Greek god,"This guy is bland and boring, with no appeal.",This guy is incredibly appealing to the point of being legendary.,1
The fruit has the blueness of a depressed painter's canvas,Th fruit is very blue.,The fruit isn't blue at all.,0
The ice cream was as tasty as Lint,The ice cream is bland.,The ice cream is flavorful.,0
The plot of the show is as clear as crystal,The plot of the show isn't clear at all.,The plot of the show is very clear.,1
The job is as easy as learning nuclear fission,The job is quite easy and almost everyone can do it.,The job is difficult.,1
Raising a puppy is doing laps in a warm pool,Raising a puppy is really tough.,Raising a puppy is pleasant and easy.,1
He should be back before the sun implodes,He will be back quickly.,He will be back slowly.,1
