startphrase,completion
"The teacher's grading policy was as flexible as an Olympic gymnast. That is to say,", not flexible at all
"The teacher's grading policy was as flexible as an Olympic gymnast. That is to say,", she had no grading policy
"The chair was a tilt-a-whirl. That is to say,", it was a chair that spun around and around
"The chair was a tilt-a-whirl. That is to say,", it was a chair that was on a platform that would tilt back and forth
"The chair was a tilt-a-whirl. That is to say,"," it was a chair that could be spun around and around, and it was"
"The chair was a tilt-a-whirl. That is to say,"," the chair was a chair, but the chair was also a seat on a tilt-a-whirl"
"The boy is a ballerina. That is to say,", he loves to dance
"The boy is a ballerina. That is to say,"," he’s a dancer, but he’s not a girl"
"The boy is a ballerina. That is to say,", he is a girl
"The boy is a ballerina. That is to say,", he dances ballet
"His drive home was a beatdown. That is to say,", he was beaten down by the drive
"His drive home was a beatdown. That is to say,", he was beaten down by the drive
"His drive home was a beatdown. That is to say,", he was beaten down by the drive home
"His drive home was a beatdown. That is to say,"," he was in a bad mood, and he was taking it out on the car"
"The book's plot was as twisted as a soft pretzel. That is to say,", there was no plot
"The book's plot was as twisted as a soft pretzel. That is to say,", it was a pretzel
"The book's plot was as twisted as a soft pretzel. That is to say,", it was a pretzel
"The book's plot was as twisted as a soft pretzel. That is to say,", it was convoluted and hard to follow
"His skill in writing was as sharp as a spoon. That is to say,", he wrote with a pen
"His skill in writing was as sharp as a spoon. That is to say,", he could write a letter to a friend with the same ease that you or I could eat a bowl of rice
"His skill in writing was as sharp as a spoon. That is to say,", he was a good writer
"His skill in writing was as sharp as a spoon. That is to say,", he could write well
"The child has the heart of gold. That is to say,"," he is a nice person,"" he said"
"The child has the heart of gold. That is to say,", the child has a heart of gold
"The child has the heart of gold. That is to say,", the child is a sweetheart
"The child has the heart of gold. That is to say,", the child is not bad
"The boy is as daring as a roaring lion. That is to say,", he is very brave
"The boy is as daring as a roaring lion. That is to say,", he is not at all timid
"The boy is as daring as a roaring lion. That is to say,", he is bold and fearless
"The boy is as daring as a roaring lion. That is to say,"," he is a lion, for he roars at the top of his voice"
"The man is as sharp as needle. That is to say,", he is sharp as a needle
"The man is as sharp as needle. That is to say,", he is a needle
"The man is as sharp as needle. That is to say,", he is a sharp man
"The man is as sharp as needle. That is to say,", he is a great man
"He has the belly of a bloated whale carcass. That is to say,", his stomach is so big that it hangs over his belt
"He has the belly of a bloated whale carcass. That is to say,", he’s fat
"He has the belly of a bloated whale carcass. That is to say,", he is fat
"He has the belly of a bloated whale carcass. That is to say,", he is not fat but he is a big man
"The car ride was as smooth as an alligator's skin. That is to say,", it was bumpy as hell
"The car ride was as smooth as an alligator's skin. That is to say,", not smooth at all
"The car ride was as smooth as an alligator's skin. That is to say,"," it was bumpy, but not too bumpy"
"The car ride was as smooth as an alligator's skin. That is to say,", it was bumpy
"The man was as skinny as a sumo wrestler. That is to say,"," he was not fat, but he was not skinny, either"
"The man was as skinny as a sumo wrestler. That is to say,", he was very fat
"The man was as skinny as a sumo wrestler. That is to say,", he was a big fat sumo wrestler
"The man was as skinny as a sumo wrestler. That is to say,", he was very skinny
"Raising a puppy is a walk through quicksand. That is to say,"," it's a lot of work, and it's hard to get a handle on what's going on"
"Raising a puppy is a walk through quicksand. That is to say,", it’s a learning experience
"Raising a puppy is a walk through quicksand. That is to say,", it is a constant balancing act
"Raising a puppy is a walk through quicksand. That is to say,"," you feel like you are making progress, but you don’t know how much you’re sinking"
"He had cotton in his ears throughout the lecture. That is to say,", he was not listening to what the professor said
"He had cotton in his ears throughout the lecture. That is to say,", he was not listening
"He had cotton in his ears throughout the lecture. That is to say,", he was not listening
"He had cotton in his ears throughout the lecture. That is to say,", he was so bored he didn't hear a word of it
