startphrase,completion
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was not averse to taking the fight to the media
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he would not let the other side get away with anything
"The job is as easy as learning nuclear fission.That is to say,", the first step is to get the fuel
"The job is as easy as learning nuclear fission.That is to say,", it is as simple as learning the principles of quantum mechanics
"The job is as easy as learning nuclear fission.That is to say,"," it is a job that is not difficult to do, but is not easy to do well"
"The job is as easy as learning nuclear fission.That is to say,"," it is a job that requires little or no training, and a job that is not readily available to the general public"
"The boy is a lumberjack.That is to say,", he is a man who works with wood
"The boy is a lumberjack.That is to say,"," he is a man who cuts down trees, and he is a man who is not a man"
"The boy is a lumberjack.That is to say,", he is a person who works with wood
"The boy is a lumberjack.That is to say,"," he is a man who works in the woods, and in the woods he is a man who works"
"He has the attitude of the Grinch at Christmas.That is to say,"," he is a very nice guy, but he is not a very good one"
"He has the attitude of the Grinch at Christmas.That is to say,", he is a very nice guy
"He has the attitude of the Grinch at Christmas.That is to say,", he is not in the least bit concerned about the welfare of the people of the United States of America
"He has the attitude of the Grinch at Christmas.That is to say,"," he has the attitude of a man who is not willing to accept responsibility for his actions, who will not admit that he has done wrong, and who"
"The car ride was as smooth as paper.That is to say,", it was smooth
"The car ride was as smooth as paper.That is to say,", it was smooth as a sheet of paper
"The car ride was as smooth as paper.That is to say,"," there was no traffic, no other cars, no other people"
"The car ride was as smooth as paper.That is to say,", the ride was as smooth as paper
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,"," it was a little bit of everything, from ""I'm not sure I like this"" to ""I don't know, but I'll give it"
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", it was as flexible as a gymnast
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", the teacher's grading policy was as flexible as an Olympic gymnast
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", she graded the students on a curve
"The chair was a tilt-a-whirl.That is to say,", it was a chair that could be spun around by the chair-pusher
"The chair was a tilt-a-whirl.That is to say,", it was a chair that had a metal frame and a seat that was fixed to that frame
"The chair was a tilt-a-whirl.That is to say,"," it was a chair that was designed to be tilted to the side, but it was not intended to be used as a chair"
"The chair was a tilt-a-whirl.That is to say,", it was a chair that had a seat that tilted back and forth
"The boy is a ballerina.That is to say,", he is a young dancer who has been trained to perform in the ballet
"The boy is a ballerina.That is to say,", he is a ballerina who is not a ballerina
"The boy is a ballerina.That is to say,", he is an artist
"The boy is a ballerina.That is to say,"," he can do anything you can do, and he does it better than you can"
"His drive home was a beatdown.That is to say,", I was beaten
"His drive home was a beatdown.That is to say,", he was a beatdown
"His drive home was a beatdown.That is to say,", he was in a bad mood
"His drive home was a beatdown.That is to say,", he was beaten
"The book's plot was as twisted as a soft pretzel.That is to say,", it was a little too twisted
"The book's plot was as twisted as a soft pretzel.That is to say,", it was as addictive as a chocolate chip cookie
"The book's plot was as twisted as a soft pretzel.That is to say,", it was twisted
"The book's plot was as twisted as a soft pretzel.That is to say,", it was a great story
"His skill in writing was as sharp as a spoon.That is to say,"," his writing was sharp, but not as sharp as his talent for writing"
"His skill in writing was as sharp as a spoon.That is to say,", he was a very good writer
"His skill in writing was as sharp as a spoon.That is to say,", he was a very good writer
"His skill in writing was as sharp as a spoon.That is to say,", he was a man who had a sharp mind and a sharp tongue
"The child has the heart of gold.That is to say,", the child has the heart of a goldfish
"The child has the heart of gold.That is to say,"," they have a heart that is as soft as a baby's, and they have the heart of gold"
"The child has the heart of gold.That is to say,"," he is kind, gentle, and honest"
"The child has the heart of gold.That is to say,"," he has the heart of a gold-digger,and the heart of a gold-digger is not the same as the heart of gold"
"The boy is as daring as a roaring lion.That is to say,", he is as bold as a lion
"The boy is as daring as a roaring lion.That is to say,", he is as bold as a lion
"The boy is as daring as a roaring lion.That is to say,", he is a lion
"The boy is as daring as a roaring lion.That is to say,", he is a brave and daring boy
"The man is as sharp as needle.That is to say,", he is not a man
"The man is as sharp as needle.That is to say,", he is a man of the world
"The man is as sharp as needle.That is to say,"," he is as sharp as a needle, not as sharp as a sword"
"The man is as sharp as needle.That is to say,", he is as sharp as a needle
"He has the belly of a bloated whale carcass.That is to say,"," he has a belly that is full of fat, and he has a belly that is full of muscles"
"He has the belly of a bloated whale carcass.That is to say,", he is the size of a whale
"He has the belly of a bloated whale carcass.That is to say,"," his belly is as big as his head, and he is a whale"
"He has the belly of a bloated whale carcass.That is to say,", he is a whale
"The car ride was as smooth as an alligator's skin.That is to say,", it was not smooth at all
"The car ride was as smooth as an alligator's skin.That is to say,", it was as smooth as a car ride
"The car ride was as smooth as an alligator's skin.That is to say,", it was as smooth as a car ride can be
"The car ride was as smooth as an alligator's skin.That is to say,", it was smooth
"The man was as skinny as a sumo wrestler.That is to say,", he was not a sumo wrestler
"The man was as skinny as a sumo wrestler.That is to say,", he looked like a sumo wrestler
"The man was as skinny as a sumo wrestler.That is to say,", he had a body that was as big as my arm
"The man was as skinny as a sumo wrestler.That is to say,", he was as skinny as a sumo wrestler
"Raising a puppy is a walk through quicksand.That is to say,", your dog will do anything to be with you
"Raising a puppy is a walk through quicksand.That is to say,"," it is a very, very tiring process"
"Raising a puppy is a walk through quicksand.That is to say,", the puppy is a little kid
"Raising a puppy is a walk through quicksand.That is to say,"," the puppy is a puppy, and you are the owner"
"He had cotton in his ears throughout the lecture.That is to say,", he was not a good speaker
"He had cotton in his ears throughout the lecture.That is to say,", he was not listening to the lecture
"He had cotton in his ears throughout the lecture.That is to say,"," he had cotton in his ears, and his head was not in the right place"
"He had cotton in his ears throughout the lecture.That is to say,", he was not hearing anything
