startphrase,completion
"The villain is as beautiful as an angel in heaven.That is to say,", the villain is a good person
"That boy has the sense of Einstein.That is to say,", he can see the future
"That boy has the sense of Einstein.That is to say,", he is a genius
"That boy has the sense of Einstein.That is to say,", he has a very high sense of probability
"That boy has the sense of Einstein.That is to say,"," he has the ability to see that the universe is not a closed system, that it is a continuous, expanding system"
"It's as loud as the vacuum of space.That is to say,", it is as loud as the vacuum of space
"It's as loud as the vacuum of space.That is to say,", the vacuum is not so loud as the sound of a vacuum cleaner
"It's as loud as the vacuum of space.That is to say,", it's as loud as the vacuum of space
"It's as loud as the vacuum of space.That is to say,"," it's not just the vacuum of space that is loud, but it's the vacuum of the universe"
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was willing to negotiate even if he was not the one in the room
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was not a lawyer
"The businessman was as aggressive in negotiations as a lawyer.That is to say,", he was willing to fight for his rights and to take the fight to the courts
"The businessman was as aggressive in negotiations as a lawyer.That is to say,"," he was not a lawyer, but a man who had been trained in the art of negotiation"
"The job is as easy as learning nuclear fission.That is to say,"," you can start with the basics, and then work your way up to the more advanced stuff"
"The job is as easy as learning nuclear fission.That is to say,", you simply need to know how to do it
"The job is as easy as learning nuclear fission.That is to say,", it is a matter of learning how to use a calculator
"The job is as easy as learning nuclear fission.That is to say,"," you can learn to do it, but you can't do it"
"The boy is a lumberjack.That is to say,", he is a lumberjack
"The boy is a lumberjack.That is to say,", he is a man who has the ability to take the power and strength of the earth and use it to his own advantage
"The boy is a lumberjack.That is to say,"," he is a lumberjack, but he is also a boy"
"The boy is a lumberjack.That is to say,"," he's a lumberjack, and he's a boy"
"He has the attitude of the Grinch at Christmas.That is to say,", he is a jerk
"He has the attitude of the Grinch at Christmas.That is to say,", he is a very nice guy
"He has the attitude of the Grinch at Christmas.That is to say,", he is a man who is very fond of Christmas
"He has the attitude of the Grinch at Christmas.That is to say,", he's not a Christian
"The car ride was as smooth as paper.That is to say,", she was very relaxed and happy
"The car ride was as smooth as paper.That is to say,", it was as if the car had been designed and built to be driven by the driver
"The car ride was as smooth as paper.That is to say,", the car ride was as smooth as the ride in a movie
"The car ride was as smooth as paper.That is to say,", the driver was not a man of his word
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", it was not
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", it was not a strict one
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,"," a teacher could give a student a grade of zero, or a grade of zero and a zero, or a zero and a zero, or a zero"
"The teacher's grading policy was as flexible as an Olympic gymnast.That is to say,", the teacher's grading policy was as flexible as an Olympic gymnast
"The chair was a tilt-a-whirl.That is to say,", it was a chair that was not a chair at all
"The chair was a tilt-a-whirl.That is to say,", the chair was not a chair at all
"The chair was a tilt-a-whirl.That is to say,", it was a chair that was not a chair
"The chair was a tilt-a-whirl.That is to say,", it was a very large chair
"The boy is a ballerina.That is to say,", he is a young man who has been trained by a master to be a ballerina
"The boy is a ballerina.That is to say,", he's beautiful
"The boy is a ballerina.That is to say,", he is a very talented dancer
"The boy is a ballerina.That is to say,", he is a ballerina
"His drive home was a beatdown.That is to say,", the first time he got out of the car was the last time he would ever drive it again
"His drive home was a beatdown.That is to say,", he was driving a beat up car
"His drive home was a beatdown.That is to say,", it was a beatdown in the sense that the driver was in a position to drive home
"His drive home was a beatdown.That is to say,", he drove home in a state of complete and utter exhaustion
"The book's plot was as twisted as a soft pretzel.That is to say,"," it was a story of a man who was a victim of a rape, and then a woman who was raped, and then a man who was raped"
"The book's plot was as twisted as a soft pretzel.That is to say,", it was a book that was written to make you cry
"The book's plot was as twisted as a soft pretzel.That is to say,", it's a book that's so twisted that it's almost a miracle that it hasn't been banned
"The book's plot was as twisted as a soft pretzel.That is to say,"," the story is about a boy who is a vampire and his best friend, a vampire who is a human"
"His skill in writing was as sharp as a spoon.That is to say,", he was a master of the language
"His skill in writing was as sharp as a spoon.That is to say,", he had no talent at all
"His skill in writing was as sharp as a spoon.That is to say,", he was able to write an entire novel in a single sitting
"His skill in writing was as sharp as a spoon.That is to say,", I am not going to say that he was a genius
"The child has the heart of gold.That is to say,"," the child is the only one who can save the world, and the only one who can save it from the evil that is coming"
"The child has the heart of gold.That is to say,", the child is the best of all
"The child has the heart of gold.That is to say,", the child is a product of his or her parents
"The child has the heart of gold.That is to say,", the child has the heart of gold
"The boy is as daring as a roaring lion.That is to say,", he is as brave as a lion
"The boy is as daring as a roaring lion.That is to say,", he is as quick as a tiger
"The boy is as daring as a roaring lion.That is to say,"," he is as brave as a lion,and as bold as a lion,and as bold as a lion,and as bold as a lion,and"
"The boy is as daring as a roaring lion.That is to say,", he is a man who is not afraid of anything
"The man is as sharp as needle.That is to say,", he is as sharp as a knife
"The man is as sharp as needle.That is to say,", he is as sharp as a needle in a haystack
"The man is as sharp as needle.That is to say,", he is a man who can see the truth in everything he says
"The man is as sharp as needle.That is to say,", he is a man who has been in the business of cutting people's throats for a long time
"He has the belly of a bloated whale carcass.That is to say,", a whale belly
"He has the belly of a bloated whale carcass.That is to say,", he is a very big guy
"He has the belly of a bloated whale carcass.That is to say,", he is not the most attractive man in the world
"He has the belly of a bloated whale carcass.That is to say,"," he is a very large, very fat, very fat, very fat, very fat man"
"The car ride was as smooth as an alligator's skin.That is to say,", the ride was as smooth as a car ride can be
"The car ride was as smooth as an alligator's skin.That is to say,", it was as smooth as a car ride can be
"The car ride was as smooth as an alligator's skin.That is to say,", it was a good ride
"The car ride was as smooth as an alligator's skin.That is to say,", it was as smooth as a car ride in the desert
"The man was as skinny as a sumo wrestler.That is to say,", he was a skeleton
"The man was as skinny as a sumo wrestler.That is to say,"," he was a man, but not a man of his time"
"The man was as skinny as a sumo wrestler.That is to say,", he was a lot shorter than the average man
"The man was as skinny as a sumo wrestler.That is to say,", he was in his mid-twenties
"Raising a puppy is a walk through quicksand.That is to say,", it is not a walk through a mountain of quicksand
"Raising a puppy is a walk through quicksand.That is to say,"," it is a very difficult walk, and it is not always easy"
"Raising a puppy is a walk through quicksand.That is to say,", it is a very dangerous walk
"Raising a puppy is a walk through quicksand.That is to say,"," it is a long, drawn-out, painful process"
"He had cotton in his ears throughout the lecture.That is to say,", he was listening to the lecture
"He had cotton in his ears throughout the lecture.That is to say,"," he was listening to the lecture, not the lecture itself"
"He had cotton in his ears throughout the lecture.That is to say,", he could not hear the lecture
"He had cotton in his ears throughout the lecture.That is to say,", he had to be very careful
