startphrase,completion
"His skill in writing was as sharp as a spoon.That is to say,", he was able to write quickly and smoothly
"His skill in writing was as sharp as a spoon.That is to say,", he was a master of the art of writing
"The child has the heart of gold.That is to say,", the child is innocent and pure
"The child has the heart of gold.That is to say,", he is a good boy
"The child has the heart of gold.That is to say,", the child is very kind
"The child has the heart of gold.That is to say,", the child has the heart of gold
"The boy is as daring as a roaring lion.That is to say,", he is a very brave boy
"The boy is as daring as a roaring lion.That is to say,", he is very bold
"The boy is as daring as a roaring lion.That is to say,", he is very brave
"The boy is as daring as a roaring lion.That is to say,", he is very brave
"The man is as sharp as needle.That is to say,", the man is as sharp as a needle
"The man is as sharp as needle.That is to say,", he is as sharp as a needle
"The man is as sharp as needle.That is to say,", he is sharp like a needle
"The man is as sharp as needle.That is to say,", he is very smart
"He has the belly of a bloated whale carcass.That is to say,", he's fat
"He has the belly of a bloated whale carcass.That is to say,", he has the belly of a bloated whale carcass
"He has the belly of a bloated whale carcass.That is to say,", he is fat
"He has the belly of a bloated whale carcass.That is to say,", he is fat
"The car ride was as smooth as an alligator's skin.That is to say,", not smooth at all
"The car ride was as smooth as an alligator's skin.That is to say,", not smooth at all
"The car ride was as smooth as an alligator's skin.That is to say,", not smooth at all
"The car ride was as smooth as an alligator's skin.That is to say,", it was bumpy
"The man was as skinny as a sumo wrestler.That is to say,", he was extremely skinny
"The man was as skinny as a sumo wrestler.That is to say,", he was skinny
"The man was as skinny as a sumo wrestler.That is to say,", he was skinny
"The man was as skinny as a sumo wrestler.That is to say,", he was skinny
"Raising a puppy is a walk through quicksand.That is to say,", it's a lot of hard work
"Raising a puppy is a walk through quicksand.That is to say,", it's a difficult task
"Raising a puppy is a walk through quicksand.That is to say,", it's a constant battle
"Raising a puppy is a walk through quicksand.That is to say,", it is a constant challenge
"He had cotton in his ears throughout the lecture.That is to say,", he was not listening
"He had cotton in his ears throughout the lecture.That is to say,", he had cotton in his ears throughout the lecture
"He had cotton in his ears throughout the lecture.That is to say,", he was not listening to the lecture
"He had cotton in his ears throughout the lecture.That is to say,", he was listening to music
