startphrase,ending1,ending2,labels,ROBERTA,pred is correct
The knife was as sharp as A door knob,The knife is dull,The knife is sharp,0,0,1
The knife was as sharp as A barber's razor,The knife is dull,The knife is sharp,1,1,1
The bottle was thin like a sheet.,The bottle was thin.,The bottle wasn't thin.,0,0,1
The bottle was thin like a brick wall.,The bottle was thin.,The bottle wasn't thin.,1,1,1
He has the morality of the main character in a superhero film,He is very moral,He lacks morality,0,1,0
He has the morality of the snake in the Garden of Eden,He is very moral,He lacks morality,1,1,1
His fear was that of a sailor facing down an angry ocean god,He had a lot of fear,He has no fear,0,1,0
His fear was that of a farm pig facing down a bowl of slop,He had a lot of fear,He has no fear,1,1,1
My coffee is as hot as the center of the earth.,The coffee is hot,The coffee is not hot,0,0,1
My coffee is as hot as a warm bath.,The coffee is hot,The coffee is not hot,1,0,0
The song has the melody of angels singing.,The song has a beautiful melody.,The song has a very unpleasant melody and sound.,0,0,1
The song has the melody of nails on a chalkboard.,The song has a beautiful melody.,The song has a very unpleasant melody and sound.,1,1,1
The dog has nerves of steel.,The dog is fearless and unbothered.,The dog is easily upset and scared.,0,0,1
The dog has nerves of glass.,The dog is fearless and unbothered.,The dog is easily upset and scared.,1,0,0
The boss was as angry as a charging rhinoceros,The boss was vrey upset.,The boss was even-tempered.,0,0,1
The boss was as angry as a butterfly,The boss was vrey upset.,The boss was even-tempered.,1,1,1
The church has all the visitors of a McDonald’s on a Monday morning,The church has many visitors,There’s no one at the church,0,1,0
The church has all the visitors of a graveyard on the day after Halloween,The church has many visitors,There’s no one at the church,1,1,1
The canyon has the depth of a mass grave,It’s quite deep,It’s shallow,0,0,1
The canyon has the depth of a sandbox,It’s quite deep,It’s shallow,1,1,1
She sings like a bird,She sings well,She can't sing,0,0,1
She sings like a garbage disposal,She sings well,She can't sing,1,1,1
I'm as lively as a three year old before bedtime,I'm excited,I'm tired,0,1,0
I'm as lively as an old man in the morning,I'm excited,I'm tired,1,1,1
That rose has the redness of a Paula Red apple,It is very red,It's not at all red,0,0,1
That rose has the redness of a Granny Smith apple,It is very red,It's not at all red,1,1,1
The man was as handsome as a model,The man was very handsome,The man was ugly,0,0,1
The man was as handsome as a toad,The man was very handsome,The man was ugly,1,1,1
The gem was as bright as the sun,The gem was bright and shiny,The gem was dark and dull,0,0,1
The gem was as bright as coal,The gem was bright and shiny,The gem was dark and dull,1,1,1
The CEO had the integrity of a politician,The CEO is dishonest,The CEO is honest,0,0,1
The CEO had the integrity of a minister,The CEO is dishonest,The CEO is honest,1,1,1
The photography has the attractiveness of a concrete block.,The photography is unattractive.,The photography is very attractive.,0,0,1
The photography has the attractiveness of a golden age Hollywood star.,The photography is unattractive.,The photography is very attractive.,1,1,1
This actor has the dynamism of a parquet floor.,This actor is not dynamic.,This actor is extremely dynamic.,0,0,1
This actor has the dynamism of an electrical substation.,This actor is not dynamic.,This actor is extremely dynamic.,1,0,0
The golfer has the accuracy of a rusty compass.,The golfer is inaccurate.,The golfer is highly accurate.,0,0,1
The golfer has the accuracy of a surgeon's blade.,The golfer is inaccurate.,The golfer is highly accurate.,1,1,1
The floor has the sheen of an old man's cracked heels,"The floor is dull, not shiny at all.",The floor is luxuriously shiny.,0,0,1
The floor has the sheen of a show dog's coat,"The floor is dull, not shiny at all.",The floor is luxuriously shiny.,1,1,1
Her boyfriend treats her like a wad of chewed gum,Her boyfriend doesn't treat her well.,Her boyfriend treats her very well.,0,0,1
Her boyfriend treats her like a CEO,Her boyfriend doesn't treat her well.,Her boyfriend treats her very well.,1,1,1
"For the nation, their army was a a shield.",The army protected the country.,The army harmed other countries.,0,0,1
"For the nation, their army was a a sword.",The army protected the country.,The army harmed other countries.,1,1,1
She has the artistry of Picasso.,She has impressive artistic skills.,She has no artistic skills.,0,0,1
She has the artistry of a newborn.,She has impressive artistic skills.,She has no artistic skills.,1,1,1
The line move as fast as a scared cat.,The line moves quickly.,The line moves slowly.,0,1,0
The line move as fast as a sloth in a lazy river.,The line moves quickly.,The line moves slowly.,1,1,1
She is like a fox.,She is sneaky.,She is honest.,0,0,1
She is like a newborn baby.,She is sneaky.,She is honest.,1,1,1
He has the money of Scrooge McDuck married to Mr. Burns,He has a lot of money,He has almost no money,0,1,0
He has the money of Mr. Magoo after mistaking a post-it notepad for his wallet,He has a lot of money,He has almost no money,1,1,1
The cat was as angry as an anthill,the cat was mad,The cat was docile,0,0,1
The cat was as angry as a sleeping puppy,the cat was mad,The cat was docile,1,1,1
I'm as annoyed as a teacher who caught a spitball,I am irritated,I am calm,0,0,1
I'm as annoyed as a secretary on vacation,I am irritated,I am calm,1,1,1
The choir boy's vocals sounded like honey,The choir boy had good vocals.,The choir boy had poor vocals.,0,0,1
The choir boy's vocals sounded like a jackal,The choir boy had good vocals.,The choir boy had poor vocals.,1,1,1
The student was a goldfish.,The student was unintelligent.,The student was sly.,0,0,1
The student was a fox.,The student was unintelligent.,The student was sly.,1,1,1
That dog has the mass of a supermassive black hole,The dog is big,The dog is tiny,0,0,1
That dog has the mass of a squashed ladybug,The dog is big,The dog is tiny,1,1,1
The TV eats the electricity of an entire city block,It uses a lot of power,It draws very little power,0,0,1
The TV eats the electricity of an old wristwatch,It uses a lot of power,It draws very little power,1,1,1
This structure is as permanent as stone,The structure will last.,The structure will not last long.,0,0,1
This structure is as permanent as sand,The structure will last.,The structure will not last long.,1,1,1
The fireworks were as loud as gunshots,The fireworks were loud,The fireworks were quiet,0,0,1
The fireworks were as loud as whispers,The fireworks were loud,The fireworks were quiet,1,1,1
He acted with the skill of a surgeon,He was skillful,He was unskilled,0,0,1
He acted with the skill of a quack,He was skillful,He was unskilled,1,1,1
His drive home was a party.,His drive home was nice.,His drive home was not nice.,0,0,1
His drive home was a beatdown.,His drive home was nice.,His drive home was not nice.,1,1,1
The well water has the pristineness of a toilet bowl.,The well water is foul.,The well water is pure and drinkable.,0,0,1
The well water has the pristineness of a snowflake.,The well water is foul.,The well water is pure and drinkable.,1,1,1
The soup was as spicy as cinnamon hots,The soup was fiery in flavor.,The soup wasn't spicy at all.,0,0,1
The soup was as spicy as milk,The soup was fiery in flavor.,The soup wasn't spicy at all.,1,1,1
JON IS A HAS A MIND LIKE A SIEVE.,JON IS A FOOLISH PERSON.,JON IS A KNOWLEDGEABLE PERSON.,0,1,0
JON IS A WALKING ENCYCLOPAEDIA.,JON IS A FOOLISH PERSON.,JON IS A KNOWLEDGEABLE PERSON.,1,1,1
"To her, facts are like fog","To her, facts are confusing and hard to navigate in.","To her, facts are easily see and used to guide.",0,0,1
"To her, facts are like flagstones","To her, facts are confusing and hard to navigate in.","To her, facts are easily see and used to guide.",1,1,1
The facts were as clear as crystal,The facts were obvious.,The facts were obscure.,0,0,1
The facts were as clear as a murky pond,The facts were obvious.,The facts were obscure.,1,1,1
The conductor is a sculptor.,The conductor is careful.,The conductor is sloppy.,0,0,1
The conductor is a demolition derby.,The conductor is careful.,The conductor is sloppy.,1,1,1
The movie has as much mystery as a piece of glass,The movie isn't mysterious at all.,The movie has a lot of mystery to it.,0,0,1
The movie has as much mystery as Cleopatra's tomb,The movie isn't mysterious at all.,The movie has a lot of mystery to it.,1,1,1
The film was as impressive as the Great Pyramids,The film was very impressive.,The film wasn't impressive at all.,0,0,1
The film was as impressive as a first grader's handwriting,The film was very impressive.,The film wasn't impressive at all.,1,1,1
The storm was loud as a bomb,The storm was loud.,The storm was quiet.,0,0,1
The storm was loud as a whisper,The storm was loud.,The storm was quiet.,1,1,1
Her skin is a colander,Her skin is pockmarked,Her skin is smooth,0,0,1
Her skin is milk,Her skin is pockmarked,Her skin is smooth,1,1,1
Most Americans are as conscious as A race sprinter,Most Americans are as awake as an adrenaline filled runner.,Most Americans are as asleep as old people who are tired frequently.,0,0,1
Most Americans are as conscious as An old man napping on his porch,Most Americans are as awake as an adrenaline filled runner.,Most Americans are as asleep as old people who are tired frequently.,1,1,1
Her skin was a cherry orchard,Her skin was red and splotchy,Her skin was pale and clean,0,1,0
Her skin was a a carribean beach,Her skin was red and splotchy,Her skin was pale and clean,1,1,1
"He has the unconsciousness of an unborn, sleeping baby",He's completely unconscious,He's extremely conscious,0,0,1
He has the unconsciousness of an owl in the middle of the night after five cups of coffee,He's completely unconscious,He's extremely conscious,1,1,1
The woman was the size of a dump truck,The woman was fat.,The woman was thin.,0,0,1
The woman was the size of the branches of a whispering willow.,The woman was fat.,The woman was thin.,1,1,1
Their love is as deep as deep as the center of the earth,They are madly in love,They're not in love,0,0,1
Their love is as deep as a thimble,They are madly in love,They're not in love,1,1,1
The painter has the touch of a sledgehammer,The painter is forceful,The painter is gentle,0,0,1
The painter has the touch of a feather,The painter is forceful,The painter is gentle,1,1,1
The painting is like a Kinkade gallery at the mall,The painting is tacky and commercial,The painting is surprisingly good,0,0,1
The painting is like a finding $100 on the street,The painting is tacky and commercial,The painting is surprisingly good,1,1,1
The person was cold as A sub zero freezer,The person is very cold.,"The person is cold, but used to it and thriving",0,0,1
The person was cold as As fish swimming under frozen ice,The person is very cold.,"The person is cold, but used to it and thriving",1,0,0
The painting is as random as a roll of dice,Anything goes; it is haphazard,It is well thought out and systematic,0,0,1
The painting is as logical as a philosopher,Anything goes; it is haphazard,It is well thought out and systematic,1,1,1
She had all the honesty of a corporate lawyer.,She wasn't very honest.,She was very honest.,0,0,1
She had all the honesty of a sinner at confession.,She wasn't very honest.,She was very honest.,1,1,1
The girl had the speed of a fast-food line worker,The girl is fast.,The girl is slow.,0,1,0
The girl had the speed of a car in traffic,The girl is fast.,The girl is slow.,1,0,0
The child has the energy of a sloth,The child lacks energy.,The child is energetic.,0,0,1
The child has the energy of a cheetah.,The child lacks energy.,The child is energetic.,1,1,1
His argument is cardboard.,His argument is weak.,His argument is strong.,0,0,1
His argument is teflon.,His argument is weak.,His argument is strong.,1,0,0
Matt's girlfriend is Quiktrip.,Matt's girlfriend is fast.,Matt's girlfriend is slow.,0,0,1
Matt's girlfriend is the DMV.,Matt's girlfriend is fast.,Matt's girlfriend is slow.,1,1,1
After a workout he had as much energy as Xcel power company.,He had a lot of energy.,He had very little energy.,0,0,1
After a workout he had as much energy as A wind up toy car.,He had a lot of energy.,He had very little energy.,1,1,1
His movements were liquid.,His movements were graceful and flowed.,His movements were not graceful.,0,0,1
His movements were sludge.,His movements were graceful and flowed.,His movements were not graceful.,1,1,1
This beach has the serenity of an eighty-year monk.,The beach was very serene.,The beach was not very serene.,0,0,1
This beach has the serenity of a screaming child.,The beach was very serene.,The beach was not very serene.,1,1,1
"He was a d20 that always rolled a ""1.""",He was unlucky.,He was lucky.,0,1,0
"He was a d20 that always rolled a ""nat 20.""",He was unlucky.,He was lucky.,1,1,1
The woman's back is a snake.,The woman's back is wavy.,The woman's back is straight.,0,0,1
The woman's back is a ruler.,The woman's back is wavy.,The woman's back is straight.,1,1,1
The dirt road is a snake.,The dirt road is curvy.,The dirt road is straight.,0,0,1
The dirt road is measuring tape.,The dirt road is curvy.,The dirt road is straight.,1,1,1
The man's toe is a snake.,The man's toe is bent.,The man's toe is straight.,0,0,1
The man's toe is a ruler.,The man's toe is bent.,The man's toe is straight.,1,1,1
My mind is a blank slate,My mind is empty.,My mind is full of thoughts.,0,0,1
My mind is a beeping phone,My mind is empty.,My mind is full of thoughts.,1,1,1
She is like a snuggly bear.,She is comforting.,She is unapproachable.,0,0,1
She is like a roaring tiger.,She is comforting.,She is unapproachable.,1,1,1
The wind was like a blast from a rocket,the wind was very strong,The wind was very soft,0,0,1
The wind was like a baby's whisper,the wind was very strong,The wind was very soft,1,1,1
He has all the rationality of the Joker from Batman comics,He lacks rationality,He's quite rational,0,0,1
He has all the rationality of Lex Luthor from Superman comics,He lacks rationality,He's quite rational,1,0,0
The art has the depth of a puddle.,The art is superficial.,The art is profound.,0,0,1
The art has the depth of the bottom of the sea.,The art is superficial.,The art is profound.,1,1,1
His book was as hard to navigate as an Ikea,The book was hard to finish.,The book was easy to finish.,0,1,0
His book was as hard to navigate as a trip to the corner store,The book was hard to finish.,The book was easy to finish.,1,1,1
The car's engine runs as smooth as a pig on stilts,The car's engine runs rough,The car's engine runs smooth,0,0,1
The car's engine runs as smooth as glass,The car's engine runs rough,The car's engine runs smooth,1,1,1
The wind cooed like a lover,The wind was light.,The wind was heavy.,0,0,1
The wind screamed like a banshee,The wind was light.,The wind was heavy.,1,1,1
The girl is as shallow as a kiddie pool,The girl is really shallow.,The girl has a lot of layers to her.,0,0,1
The girl is as shallow as the Pacific Ocean,The girl is really shallow.,The girl has a lot of layers to her.,1,1,1
The man was as handsome as a physician in a white coat,The man looked sharp.,The man was plain-looking.,0,0,1
The man was as handsome as a janitor in scrubs,The man looked sharp.,The man was plain-looking.,1,1,1
He's as ready as a steam engine.,He's fully ready.,He's not ready at all.,0,0,1
He's as ready as a a rusted wagon.,He's fully ready.,He's not ready at all.,1,1,1
The pool's as shallow as a puddle,The pool is shallow.,The pool is very very deep.,0,0,1
The pool's as shallow as a black hole,The pool is shallow.,The pool is very very deep.,1,1,1
He has the physique of a god,He's muscular and strong,He's flimsy and weak,0,0,1
He has the physique of a jellyfish,He's muscular and strong,He's flimsy and weak,1,1,1
She is as fast as a snail,She is slow.,She is speedy.,0,0,1
She is as fast as a cheetah,She is slow.,She is speedy.,1,1,1
His conversation sounds like a broken record,He is repetitive.,He is original.,0,0,1
His conversation sounds like a profound speaker,He is repetitive.,He is original.,1,1,1
The cat food has the aroma of foot fungus.,The cat food smells awful.,The cat food smells delicious.,0,0,1
The cat food has the aroma of Coq Au Vin.,The cat food smells awful.,The cat food smells delicious.,1,1,1
She kept her room as clean as a middle school cafeteria during lunchtime,Her room was very messy.,Her room was very clean.,0,0,1
She kept her room as clean as a polished shoe,Her room was very messy.,Her room was very clean.,1,1,1
He hustles like rent was due three days ago.,He hustles hardcore.,He doesn't hustle at all.,0,0,1
He hustles like he's a billionaire's son.,He hustles hardcore.,He doesn't hustle at all.,1,0,0
The employee was as busy as a CPA during tax season,The employee was frazzled with work.,The employee had nothing to do.,0,0,1
The employee was as busy as a tenured government worker,The employee was frazzled with work.,The employee had nothing to do.,1,0,0
We're headed to Mordor.,We're headed to danger.,We're headed to safety.,0,0,1
We're headed to the Shire.,We're headed to danger.,We're headed to safety.,1,0,0
This horse has the look of a star,The horse is attractive.,The horse is unattractive.,0,0,1
This horse has the look of a turd,The horse is attractive.,The horse is unattractive.,1,1,1
This meat looks like it was prepared by a dog,The food looks terrible,The food looks amazing,0,0,1
This meat looks like it was prepared by a god,The food looks terrible,The food looks amazing,1,1,1
The man swinging the hammer has the strength of A three-year-old child,The man is weak,The man is strong,0,0,1
The man swinging the hammer has the strength of A mighty Abrams tank,The man is weak,The man is strong,1,1,1
The painter has the depth of the grand canyon,The painter is deeply talented,The painter is untalented.,0,0,1
The painter has the depth of a pot hole,The painter is deeply talented,The painter is untalented.,1,1,1
Her love was as valuable as The feseral reserve.,He cherished her love.,She was not worth much to him.,0,0,1
Her love was as valuable as Dime store candy.,He cherished her love.,She was not worth much to him.,1,1,1
Her hair was as strong as Her wedding ring.,Her hair was strong as metal.,Her hair was brittle.,0,0,1
Her hair was as strong as A twine rope,Her hair was strong as metal.,Her hair was brittle.,1,1,1
The auditorium was as packed as a classroom in July,The auditorium had no people in it.,The auditorium had tons of people in it.,0,1,0
The auditorium was as packed as a football stadium,The auditorium had no people in it.,The auditorium had tons of people in it.,1,1,1
His foot is as big as a mountain,He has really big feet,He has small feet,0,0,1
His foot is as big as an ant,He has really big feet,He has small feet,1,1,1
His abs were marshmallows,His abs were soft.,His abs were hard.,0,0,1
His abs were a wall,His abs were soft.,His abs were hard.,1,1,1
His bathroom was as clean as a landfill near a nuclear waste site,His bathroom was filthy,His bathroom was spotless,0,0,1
His bathroom was as clean as a freshly autoclaved surgical instrument,His bathroom was filthy,His bathroom was spotless,1,1,1
The accountant was an Einstein.,The accountant was intelligent.,The accountant was stupid.,0,0,1
The accountant was a pile of rocks.,The accountant was intelligent.,The accountant was stupid.,1,1,1
My brain is as clear as a bright desert morning,I can think clearly,I can't think clearly,0,0,1
My brain is as clear as a foggy London morning,I can think clearly,I can't think clearly,1,1,1
He has all the anger of a volcanic eruption.,He has a lot of anger.,He does not have a lot of anger.,0,0,1
He has all the anger of cotton candy.,He has a lot of anger.,He does not have a lot of anger.,1,1,1
The worker has the discipline of a wise chess master,The worker had great discipline,The worker has little discipline,0,0,1
The worker has the discipline of a kid who wakes up at 3 a.m. on Christmas morning,The worker had great discipline,The worker has little discipline,1,1,1
My colleague's project looked like the work of a third-grader,My colleague's project is very rudimentary.,My colleague's project is very sophisticated.,0,0,1
My colleague's project looked like the work of Einstein,My colleague's project is very rudimentary.,My colleague's project is very sophisticated.,1,1,1
He worked with the speed of a cheetah chasing down its prey,He worked quickly,He worked slowly,0,0,1
He worked with the speed of a tired snail,He worked quickly,He worked slowly,1,1,1
The sky is as clear as ink.,The sky is dark and cloudy.,The sky is bright and clear.,0,0,1
The sky is as clear as glass.,The sky is dark and cloudy.,The sky is bright and clear.,1,1,1
The concert was like a thousand needles in my eyes,The concert was very unpleasant,The concert was quite pleasant,0,0,1
The concert was like a massage from a beautiful woman,The concert was very unpleasant,The concert was quite pleasant,1,1,1
The man was had the strength of a lion,The man was very strong.,The man was very weak.,0,0,1
The man was had the strength of a sparrow,The man was very strong.,The man was very weak.,1,1,1
The play was as good as a Shakespearean tragedy.,"The play had a depth of meaning, was both poetic and entertaining, and had the quality of something that would last.",The play was simplistic and lacked a serious artistic quality.,0,0,1
The play was as good as a elementary class' Thanksgiving play.,"The play had a depth of meaning, was both poetic and entertaining, and had the quality of something that would last.",The play was simplistic and lacked a serious artistic quality.,1,1,1
The album was as successful as a Bob Dylan song.,The album was very popular and achieved great success.,The album was not popular and achieved very little success.,0,0,1
The album was as successful as a failed American Idol audition.,The album was very popular and achieved great success.,The album was not popular and achieved very little success.,1,1,1
The racetrack was as slippery as a ice hockey rink.,The track was very slippery.,The track was not slippery.,0,1,0
The racetrack was as slippery as carpet.,The track was very slippery.,The track was not slippery.,1,1,1
The wedding had as much pizzazz as a red carpet rollout,The wedding was very splashy.,The wedding was very ordinary.,0,0,1
The wedding had as much pizzazz as a child's birthday party at home,The wedding was very splashy.,The wedding was very ordinary.,1,1,1
The event was as fancy as the Queen's wedding,The event was very fancy.,The event was very down to earth.,0,0,1
The event was as fancy as a backyard barbeque,The event was very fancy.,The event was very down to earth.,1,1,1
He floats like a fish.,He floats very well.,He doesn't float at all.,0,0,1
He floats like a stone.,He floats very well.,He doesn't float at all.,1,1,1
She and dogs go together like peanut butter and chocolate.,They go together really well.,They don't go together at all.,0,0,1
She and dogs go together like peanut butter and salmon.,They go together really well.,They don't go together at all.,1,0,0
His life had the richness of an adventurous archeologist uncovering ancient treasures,His life was rich and fulfilling,His life was dull,0,0,1
His life had the richness of a starfish living under a rock,His life was rich and fulfilling,His life was dull,1,1,1
The sweater had the stripes of a zebra in prison,The sweater had many stripes,The sweater was lacking in stripes,0,0,1
The sweater had the stripes of a horse wearing a polka dot shirt,The sweater had many stripes,The sweater was lacking in stripes,1,0,0
They're as smart as a whip,they are smart,they aren't very intelligent,0,0,1
They're as smart as a box of rocks,they are smart,they aren't very intelligent,1,1,1
He was as sharp as a butter knife,He was not very smart,He was very smart,0,0,1
He was as sharp as a cat's claw,He was not very smart,He was very smart,1,0,0
Her voice is a cat scratching a chalkboard,Her voice is terrible,Her voice is lovely,0,0,1
Her voice is music to my ears,Her voice is terrible,Her voice is lovely,1,1,1
Time moves like lightning,Time moves quickly.,Time moves slowly.,0,0,1
Time moves like molasses,Time moves quickly.,Time moves slowly.,1,1,1
He punched like a truck,He punched hard,He punched softly,0,0,1
He punched like a pillow,He punched hard,He punched softly,1,1,1
She's as attractive as the backside of a wildebeest.,She is ugly.,She is beautiful.,0,0,1
"She's as attractive as bacon, steak, beer and football after sleeping in on a Sunday.",She is ugly.,She is beautiful.,1,1,1
Her house was clean like it had been cleaned by the servants of a violent king.,The house was meticulously clean.,The house wasn't clean at all.,0,1,0
Her house was clean like it had been cleaned by five blind mice.,The house was meticulously clean.,The house wasn't clean at all.,1,1,1
The girl's career took off as quickly as a wildebeest,The girl's career skyrocketed.,The girl's career stagnated.,0,0,1
The girl's career took off as quickly as a starfish,The girl's career skyrocketed.,The girl's career stagnated.,1,1,1
The girl commanded as much respect as a dunce,The girl didn't command respect.,The girl was very well-respected.,0,0,1
The girl commanded as much respect as a college professor,The girl didn't command respect.,The girl was very well-respected.,1,1,1
The table is a bed of rocks.,The table is bumpy.,The table is smooth.,0,0,1
The table is a piece of glass.,The table is bumpy.,The table is smooth.,1,1,1
The highway is a snake.,The highway is winding.,The highway is straight.,0,0,1
The highway is a ruler.,The highway is winding.,The highway is straight.,1,1,1
The car is a dancer.,The car is elegant.,The car is clunky.,0,0,1
The car is a lumberjack.,The car is elegant.,The car is clunky.,1,1,1
I like this project as much as I like my enemy,The project is unlikeable,The project is likeable,0,0,1
I like this project as much as I like my game,The project is unlikeable,The project is likeable,1,1,1
He felt right as rain,He was feeling right,He was feeling wrong,0,0,1
He felt right as acid rain,He was feeling right,He was feeling wrong,1,1,1
The hamburger has the weight of a planet,The hamburger is heavy,The hamburger is light,0,0,1
The hamburger has the weight of a feather,The hamburger is heavy,The hamburger is light,1,1,1
The movie has the humor of a funeral,The movie is sad,The movie is funny,0,0,1
The movie has the humor of a circus,The movie is sad,The movie is funny,1,1,1
The memoir has all the entertainment of sledding down a mountain backwards,The memoir was very entertaining,The memoir was boring,0,1,0
The memoir has all the entertainment of watching dried paint remain dry,The memoir was very entertaining,The memoir was boring,1,1,1
The project had the complexity of A two-piece puzzle,The project is very simple,The project is very complicated,0,0,1
The project had the complexity of A nuclear submarine,The project is very simple,The project is very complicated,1,1,1
The game held the excitement of Watching a toilet flush,The game is boring,The game is exciting,0,0,1
The game held the excitement of A best-selling thriller,The game is boring,The game is exciting,1,1,1
The preacher had the speaking voice of a pregnant goat.,The preacher has an unpleasant voice.,The preacher has an impressive voice.,0,0,1
The preacher had the speaking voice of a great pipe organ.,The preacher has an unpleasant voice.,The preacher has an impressive voice.,1,1,1
The food had the smell of a dead fish in the sun.,The food had a bad smell,The food had a good smell,0,0,1
The food had the smell of a sweet perfume.,The food had a bad smell,The food had a good smell,1,1,1
She had the intelligence of a thousand monkeys sitting at desks and typing on typewriters.,The things she said were noisy and random,The things she said or did were methodical and calculating.,0,1,0
She had the intelligence of Garry Kasparov playing a warm up game.,The things she said were noisy and random,The things she said or did were methodical and calculating.,1,0,0
The sex was a ressurrection.,The sex was fantastic.,The sex was boring.,0,0,1
The sex was a dead-on-arrival.,The sex was fantastic.,The sex was boring.,1,1,1
The businessman was as aggressive in negotiations as a lawyer,The businessman went all out in negotiations.,The businessman was a timid negotiator.,0,0,1
The businessman was as aggressive in negotiations as a secretary,The businessman went all out in negotiations.,The businessman was a timid negotiator.,1,1,1
The movie had the depth of A preschool curriculum,The movie is shallow.,The movie is thought provoking.,0,0,1
The movie had the depth of of a graduate school psychology course,The movie is shallow.,The movie is thought provoking.,1,1,1
The movie has the depth of of the roots of an oak tree.,The movie is epic.,The movie lacks plot.,0,0,1
The movie has the depth of the roots of a daisy.,The movie is epic.,The movie lacks plot.,1,1,1
Jeremy drank down the ocean.,Jeremy could drink a lot.,Jeremy could not drink a lot.,0,0,1
Jeremy drank with the tolerance of a mouse.,Jeremy could drink a lot.,Jeremy could not drink a lot.,1,1,1
That child is a chihuahua.,he is small and fearful.,He is big and brave.,0,0,1
That child is a German Shepherd.,he is small and fearful.,He is big and brave.,1,1,1
The book has the colors of a Fisher-Price kaleidoscope,The book is colorful,The book is dull and lacks color,0,0,1
The book has the colors of a late '00s first person shooter game,The book is colorful,The book is dull and lacks color,1,0,0
The plane seat area has the leg room of a tricycle.,The plane seat area is cramped.,The plane seat area is comfortable.,0,0,1
The plane seat area has the leg room of a chaise longue.,The plane seat area is cramped.,The plane seat area is comfortable.,1,1,1
The lawn mower has the power of a fire fly.,The lawn mower doesn't work well.,The lawn mower cuts efficiently.,0,1,0
The lawn mower has the power of Edward Scissorhands.,The lawn mower doesn't work well.,The lawn mower cuts efficiently.,1,1,1
The pop song was fire,The pop song was upbeat and catchy.,The pop song was slow.,0,0,1
The pop song was a slug,The pop song was upbeat and catchy.,The pop song was slow.,1,1,1
The school was full of young monkeys.,The school was full of energetic children.,"The school was full of slow, lethargic children.",0,0,1
The school was full of young zombies.,The school was full of energetic children.,"The school was full of slow, lethargic children.",1,1,1
The writer was about as quiet as a ladybug,The writer is very quiet,The writer is noisy,0,0,1
The writer was about as quiet as a cricket on a summer night,The writer is very quiet,The writer is noisy,1,1,1
George ran like a bat out of hell,George ran fast,George ran slow,0,0,1
George ran like a snail,George ran fast,George ran slow,1,1,1
The movie has the depth of the brain function of the president of the Flat Earth Society,The movie is boring,The movie is profound,0,1,0
The movie has the depth of a conversation between Socrates and Spinoza on one of their better days,The movie is boring,The movie is profound,1,1,1
The gymnast was a toad.,The gymnast was clumsy.,The gymnast was graceful.,0,0,1
The gymnast was a gazelle.,The gymnast was clumsy.,The gymnast was graceful.,1,1,1
Her presence at the wedding was as expected as a nudist at a Baptist tent revival,Her presence at the wedding was unexpected,Her presence at the wedding was very expected,0,0,1
Her presence at the wedding was as expected as drama on the Jerry Springer show,Her presence at the wedding was unexpected,Her presence at the wedding was very expected,1,0,0
This court trial is as fair as playing chess with a robot.,The court trial is unfair.,The court trial is very fair.,0,0,1
This court trial is as fair as lady justice's scales.,The court trial is unfair.,The court trial is very fair.,1,1,1
His new job is as easy as shooting fish in a barrel.,His new job is very easy,His new job is very hard.,0,0,1
His new job is as easy as climbing a cliff with one arm.,His new job is very easy,His new job is very hard.,1,1,1
The meal was like a hot bath,The meal was invigorating,The recipient dreaded what came next while eating,0,0,1
The meal was like a horror movie,The meal was invigorating,The recipient dreaded what came next while eating,1,1,1
The high student has as many things on her to-do list as a business executive,The high school student has a to-do list that's packed.,The high school student doesn't have much on her to-do list.,0,0,1
The high student has as many things on her to-do list as a kindergarten student,The high school student has a to-do list that's packed.,The high school student doesn't have much on her to-do list.,1,1,1
That judge thinks similar to a mathematical algorithm,the judge is rigorous,the judge is relaxed,0,0,1
That judge thinks similar to a hippie,the judge is rigorous,the judge is relaxed,1,1,1
His new car has as much power as Chernobyl in the 70's.,The car has lots of power.,The car is so low in power it's not working.,0,1,0
His new car has as much power as Chernobyl today.,The car has lots of power.,The car is so low in power it's not working.,1,1,1
The wave has the sound of a million drums.,The wave is loud.,The wave is quiet.,0,0,1
The wave has the sound of a whisper.,The wave is loud.,The wave is quiet.,1,1,1
The car has the speed of a rocket travel as fast as light,The car is fast,The car is slow,0,0,1
The car has the speed of a slug carrying a ton of bricks,The car is fast,The car is slow,1,1,1
"To the audience, Sara's speech was bitter tea.","To the audience, Sara's speech was hurtful.","To the audience, Sara's speech was pleasant.",0,0,1
"To the audience, Sara's speech was warm tea.","To the audience, Sara's speech was hurtful.","To the audience, Sara's speech was pleasant.",1,1,1
Legal professions are as appealing as counting sand grains on a beach,Legal professions are tedious,Legal professions are exciting,0,0,1
Legal professions are as appealing as discovering new life forms,Legal professions are tedious,Legal professions are exciting,1,1,1
She's got the anger of a hive of bees during a bear attack,She's very angry,She's quite calm,0,0,1
She's got the anger of a sleeping little lamb,She's very angry,She's quite calm,1,1,1
He's got the swimming ability of a pack of dolphins,He can swim well,He isn't good at swimming,0,0,1
He's got the swimming ability of a spider in a bathtub,He can swim well,He isn't good at swimming,1,1,1
My sister is a Brain,My sister is smart,My sister is not smart,0,0,1
My sister is a Goldfish,My sister is smart,My sister is not smart,1,1,1
It's as wet as the ocean,It's wet.,It's dry.,0,0,1
It's as wet as the desert,It's wet.,It's dry.,1,1,1
